Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mujer,4,4342,4479,4623,4770,4916,5058,5192,5312,5414,5499,5549,5567,5579,5592,5608,5625,5643,5657,5669,5679,5696,5721,5744,5763,5785,5815,5844,5866,5876,5867,5830,5779,5739,5712,5691,5674,5707,5796,5892,5980,6030,6074,6137,6194,6249,6306
Mujer,5,4231,4364,4503,4648,4796,4943,5085,5220,5341,5444,5521,5558,5570,5584,5599,5616,5635,5654,5670,5684,5701,5722,5743,5762,5777,5797,5830,5861,5877,5883,5859,5807,5755,5714,5684,5663,5695,5777,5866,5961,6021,6060,6114,6170,6221,6269
Mujer,6,4121,4251,4385,4524,4669,4818,4966,5109,5244,5366,5462,5527,5558,5573,5588,5605,5623,5644,5664,5682,5700,5719,5737,5755,5771,5785,5809,5845,5872,5885,5875,5837,5786,5733,5689,5658,5686,5766,5848,5935,6002,6051,6100,6148,6198,6243
Mujer,7,4010,4137,4268,4403,4543,4688,4837,4986,5130,5265,5381,5466,5526,5559,5575,5592,5610,5630,5651,5672,5693,5712,5730,5747,5763,5779,5798,5825,5858,5882,5880,5856,5818,5766,5711,5667,5686,5761,5841,5920,5980,6036,6095,6138,6180,6225
Mujer,8,3894,4022,4151,4282,4417,4557,4704,4853,5002,5147,5277,5383,5464,5525,5560,5577,5594,5613,5634,5657,5680,5700,5719,5735,5750,5767,5789,5812,5838,5869,5878,5862,5839,5801,5747,5693,5697,5762,5837,5914,5968,6017,6082,6136,6174,6212
Mujer,9,3774,3904,4032,4162,4294,4429,4570,4717,4867,5016,5156,5278,5379,5461,5524,5559,5577,5596,5616,5637,5660,5684,5705,5722,5739,5756,5778,5804,5826,5852,5867,5862,5847,5825,5785,5732,5725,5774,5839,5911,5964,6007,6066,6127,6176,6211
Mujer,10,3646,3779,3910,4039,4168,4300,4436,4578,4726,4877,5023,5154,5271,5374,5456,5519,5555,5573,5592,5612,5634,5659,5683,5705,5724,5743,5766,5794,5821,5844,5853,5854,5851,5837,5814,5776,5768,5805,5854,5916,5965,6009,6062,6117,6175,6221
Mujer,11,3509,3646,3780,3911,4041,4171,4305,4441,4584,4733,4880,5018,5145,5262,5365,5448,5511,5547,5566,5585,5606,5630,5656,5682,5705,5728,5753,5782,5812,5841,5848,5842,5846,5845,5830,5807,5815,5850,5886,5933,5973,6015,6069,6118,6170,6225
Mujer,12,3365,3505,3644,3779,3911,4041,4173,4307,4445,4589,4734,4873,5007,5134,5252,5355,5437,5500,5536,5554,5574,5599,5625,5653,5680,5707,5736,5768,5800,5833,5845,5836,5835,5841,5839,5826,5848,5897,5933,5967,5994,6028,6079,6130,6177,6226
Mujer,13,3218,3359,3501,3640,3775,3908,4040,4172,4308,4447,4587,4725,4860,4993,5120,5238,5339,5421,5484,5519,5539,5564,5590,5617,5647,5678,5711,5747,5783,5819,5834,5831,5827,5828,5835,5836,5867,5930,5979,6013,6029,6050,6094,6144,6193,6238
